T_K,P_MPa,Density_kgm3,Density_RefProp_kgm3,Deviation_pct
298.150,2.000,29.226,29.228,-0.004
298.150,5.987,352.999,353.033,-0.010
298.150,7.909,371.593,371.571,0.006
298.150,10.071,385.867,385.799,0.018
298.150,14.959,407.911,407.811,0.024
298.150,20.004,423.934,423.827,0.025
298.150,24.927,436.235,436.121,0.026
298.150,29.893,446.599,446.474,0.028
298.150,35.020,455.820,455.683,0.030
298.150,39.905,463.582,463.434,0.032
298.150,49.977,477.362,477.162,0.042
298.150,75.091,503.592,503.383,0.041
298.150,99.827,523.125,522.954,0.033
298.150,119.760,536.225,536.070,0.029
298.150,149.807,552.995,552.905,0.016
350.000,1.999,22.819,22.814,0.024
350.000,29.974,384.889,384.905,-0.004
350.000,49.928,430.315,430.124,0.044
350.000,74.959,464.696,464.424,0.058
350.000,100.019,489.111,488.825,0.058
350.000,124.863,508.192,507.902,0.057
350.000,149.906,524.195,523.931,0.050
350.000,172.157,536.528,536.301,0.042
400.000,0.805,7.452,7.453,-0.016
400.000,7.325,84.481,84.487,-0.006
400.000,27.286,311.921,311.899,0.007
400.000,48.575,383.533,383.354,0.047
400.000,69.346,421.214,421.012,0.048
400.000,92.289,450.020,449.796,0.050
400.000,117.459,473.901,473.683,0.046
400.000,139.686,491.026,490.822,0.041
400.000,154.657,501.119,500.927,0.038
400.000,166.558,508.474,508.315,0.031
400.000,181.565,517.111,516.954,0.030
400.000,196.062,524.823,524.691,0.025
450.000,1.998,16.685,16.685,0.002
450.000,5.021,44.467,44.464,0.007
450.000,10.001,96.599,96.581,0.019
450.000,20.005,202.282,202.249,0.016
450.000,30.018,272.417,272.340,0.028
450.000,49.974,346.238,346.020,0.063
450.000,69.967,388.105,387.843,0.068
450.000,79.928,403.693,403.405,0.072
450.000,99.962,429.113,428.804,0.072
450.000,119.860,449.290,448.977,0.070
450.000,139.478,465.963,465.650,0.067
